headline,group_name,group_description,importance_score
Govt looks to the sun to solve power crisis,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Accommodating crime,Crime,"Criminal cases, investigations, arrests",4.5
Rajasthan alert on China coronavirus,WorldNews,Major international events and developments,7.0
Temasek Holdings invests Rs 140 crore in HealthCare Global Enterprises,RegionalNews,State-wise and city-wise local news,4.5
78-year-old man killed in Nandini Layout,Crime,"Criminal cases, investigations, arrests",6.5
Tennis: Konjuh stuns Radwanska to reach US Open quarter-finals,Sports,"Cricket, football, Olympics, tournaments",4.5
Gujarat: Most cadaver organ donations seen in May,RegionalNews,State-wise and city-wise local news,4.5
Telangana chamber of commerce and industry launched,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Ragini in a movie,Entertainment,"Movies, TV, OTT, celebrities",4.5
Fifth generation Gandhi expected a marathon!,RegionalNews,State-wise and city-wise local news,4.5
1 killed in Araria road mishap,Infrastructure,"Roads, railways, airports, smart cities",6.5
Barkatullah University employees call off strike,Education,"Schools, colleges, exams, admissions, policies",4.5
Sachin and Nazia grooved at the music launch of their film Nee Jathaga Nenundali; held at Novotel in Hyderabad,Entertainment,"Movies, TV, OTT, celebrities",4.8
Road dug up for 3 months,Infrastructure,"Roads, railways, airports, smart cities",4.5
Police suspect elderly couple 'staged' stabbing,Crime,"Criminal cases, investigations, arrests",4.5
Inter student kills self,Education,"Schools, colleges, exams, admissions, policies",4.5
Hyderabad: Enforcement Directorate attaches Rs 37 crore assets in bank loan fraud case,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.3
Higher dose may have killed big cat,Crime,"Criminal cases, investigations, arrests",6.5
Medal turndown: 'Charges baseless',RegionalNews,State-wise and city-wise local news,4.5
Need job creators rather than job seekers,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Jaswant's tribute to a US soldier,WorldNews,Major international events and developments,7.0
Setback for Bhattal: HC quashes plea,RegionalNews,State-wise and city-wise local news,4.5
IIT joint entrance exam today,Education,"Schools, colleges, exams, admissions, policies",4.5
50% seats empty but Shirodkar's college gets nod for new courses,Education,"Schools, colleges, exams, admissions, policies",4.5
No firing at CST: Railway commissioner,Infrastructure,"Roads, railways, airports, smart cities",4.5
HC lawyers take out march against Education Service Tribunal Bill,RegionalNews,State-wise and city-wise local news,4.5
Bengaluru taxi app under investigation over predatory prices,Crime,"Criminal cases, investigations, arrests",4.5
Again; illegal hutments come up beside railway track at Turbhe station,Infrastructure,"Roads, railways, airports, smart cities",4.5
CPM worker killed in Thalassery,Crime,"Criminal cases, investigations, arrests",6.5
Steep rise in rape cases in Rajasthan compared to previous year,Crime,"Criminal cases, investigations, arrests",6.5
2002 riots SIT to submit report in SC today,RegionalNews,State-wise and city-wise local news,4.5
New VAT forms 23; 24 unacceptable,RegionalNews,State-wise and city-wise local news,4.5
Anand ICAR scientists join nationwide protest,RegionalNews,State-wise and city-wise local news,4.5
Tamil Nadu CM M K Stalin to inaugurate commissioner offices in Tambaram; Avadi,RegionalNews,State-wise and city-wise local news,4.5
Agent Vinod slashes budget,Economy,"GDP, inflation, economic indicators, fiscal updates",9.0
SA Aiyar: 100;000MW of costly solar power can sink 'Make in India',EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Banks; industries extension officer at fault; says corp,RegionalNews,State-wise and city-wise local news,4.5
Telgi case: CBI silent on Sharma,RegionalNews,State-wise and city-wise local news,4.5
Civic body to build 6 new sewage treatment plants,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Medical admission delay: SC 'shares' concern; quota ruling today,Education,"Schools, colleges, exams, admissions, policies",4.5
Govt brings more area under insurance,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
Karnataka BJP rebels summoned to Delhi by high command,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Overnight showers leave many localities in Patna waterlogged,RegionalNews,State-wise and city-wise local news,4.5
Vijayawada police chief visits Covid-19 red zone,Crime,"Criminal cases, investigations, arrests",4.5
Congress unit to mark Swami anniversary with priests; clerics,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Britain's smallest dog is a 4 inch pug,RegionalNews,State-wise and city-wise local news,4.5
Health club opened for students,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
2 more Assam protesters die in hospital; toll hits 4,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
United States edge Belarus to claim 18th Fed Cup,WorldNews,Major international events and developments,7.0
Councillor suicide: Satyam did not want role in politics; says brother,RegionalNews,State-wise and city-wise local news,4.5
International cargo hub at airport by month-end,Infrastructure,"Roads, railways, airports, smart cities",4.5
Amit Shah to attend Chintan Shibir in Gandhinagar,RegionalNews,State-wise and city-wise local news,4.5
